name,position,z_type,z_score,x
kaib/kaib__2_4/rank_003_alphafold2_model_5_seed_004_msa_extra_msa_0.npy,kaib__2_4,up,7.6190863,2
kaib/kaib__2_4/rank_022_alphafold2_model_5_seed_001_msa_extra_msa_2.npy,kaib__2_4,common,63.39267,2
kaib/kaib__2_4/rank_022_alphafold2_model_5_seed_001_msa_extra_msa_2.npy,kaib__2_4,right,18.306002,2
kaib/kaib__2_4/rank_022_alphafold2_model_5_seed_001_msa_extra_msa_2.npy,kaib__2_4,up,7.6969056,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_2.npy,kaib__2_4,common,53.6334,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_2.npy,kaib__2_4,right,14.959555,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_2.npy,kaib__2_4,up,6.1172323,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_0.npy,kaib__2_4,common,58.696808,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_0.npy,kaib__2_4,right,21.331944,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_0.npy,kaib__2_4,up,7.389022,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_2.npy,kaib__2_4,common,52.64138,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_2.npy,kaib__2_4,right,16.00234,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_2.npy,kaib__2_4,up,5.215408,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_3.npy,kaib__2_4,common,50.149567,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_3.npy,kaib__2_4,right,11.246829,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_3.npy,kaib__2_4,up,7.59164,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_1.npy,kaib__2_4,common,56.856365,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_1.npy,kaib__2_4,right,16.666698,2
